check,status,subject,detail
event_roster_name,pass,PL-2000-005,event=驻马店市 roster=驻马店市
entity_reference,pass,PL-2000-006,CNUR-000150
automatic_continuity,pass,PL-2000-006,type=upgrade automatic=True
event_roster_name,pass,PL-2000-006,event=滨州市 roster=滨州市
entity_reference,pass,PL-2000-007,CNUR-000247
automatic_continuity,pass,PL-2000-007,type=upgrade automatic=True
event_roster_name,pass,PL-2000-007,event=眉山市 roster=眉山市
entity_reference,pass,PL-2000-008,CNUR-000251
automatic_continuity,pass,PL-2000-008,type=upgrade automatic=True
event_roster_name,pass,PL-2000-008,event=雅安市 roster=雅安市
entity_reference,pass,PL-2000-009,CNUR-000252
automatic_continuity,pass,PL-2000-009,type=upgrade automatic=True
event_roster_name,pass,PL-2000-009,event=巴中市 roster=巴中市
entity_reference,pass,PL-2000-010,CNUR-000253
automatic_continuity,pass,PL-2000-010,type=upgrade automatic=True
event_roster_name,pass,PL-2000-010,event=资阳市 roster=资阳市
entity_reference,pass,PL-2000-011,CNUR-000021
automatic_continuity,pass,PL-2000-011,type=upgrade automatic=True
event_roster_name,pass,PL-2000-011,event=运城市 roster=运城市
entity_reference,pass,PL-2000-012,CNUR-000022
automatic_continuity,pass,PL-2000-012,type=upgrade automatic=True
event_roster_name,pass,PL-2000-012,event=忻州市 roster=忻州市
entity_reference,pass,PL-2000-013,CNUR-000023
automatic_continuity,pass,PL-2000-013,type=upgrade automatic=True
event_roster_name,pass,PL-2000-013,event=临汾市 roster=临汾市
entity_reference,pass,PL-2000-014,CNUR-000260
automatic_continuity,pass,PL-2000-014,type=upgrade automatic=True
event_roster_name,pass,PL-2000-014,event=安顺市 roster=安顺市
entity_reference,pass,PL-2000-015,CNUR-000297
automatic_continuity,pass,PL-2000-015,type=upgrade automatic=True
event_roster_name,pass,PL-2000-015,event=安康市 roster=安康市
entity_reference,pass,PL-2000-016,CNUR-000133
automatic_continuity,pass,PL-2000-016,type=upgrade automatic=True
event_roster_name,pass,PL-2000-016,event=抚州市 roster=抚州市
entity_reference,pass,PL-2000-017,CNUR-000134
automatic_continuity,pass,PL-2000-017,type=upgrade automatic=True
event_roster_name,pass,PL-2000-017,event=上饶市 roster=上饶市
entity_reference,pass,PL-2000-018,CNUR-000151
automatic_continuity,pass,PL-2000-018,type=upgrade automatic=True
event_roster_name,pass,PL-2000-018,event=菏泽市 roster=菏泽市
entity_reference,pass,PL-2000-019,CNUR-000113
automatic_continuity,pass,PL-2000-019,type=upgrade automatic=True
event_roster_name,pass,PL-2000-019,event=池州市 roster=池州市
entity_reference,pass,PL-2000-020,CNUR-000114
automatic_continuity,pass,PL-2000-020,type=upgrade automatic=True
event_roster_name,pass,PL-2000-020,event=宣城市 roster=宣城市
entity_reference,pass,PL-2000-021,CNUR-000269
automatic_continuity,pass,PL-2000-021,type=upgrade automatic=True
