entity_id,legacy_entity_id,canonical_name_zh,entity_scope,province_name_zh,province_short_zh,entity_type,first_active_year,last_active_year,status_in_2026,verification_status,name_history,event_count,successor_summary,primary_source_url
CNUR-000120,E350600,漳州市,current_panel_entity,福建省,福建,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 漳州市,0,,
CNUR-000121,E350700,南平市,current_panel_entity,福建省,福建,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-1987 建阳地区; 1988-1993 南平地区; 1994-2026 南平市,2,,
CNUR-000122,E350800,龙岩市,current_panel_entity,福建省,福建,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-1995 龙岩地区; 1996-2026 龙岩市,1,,
CNUR-000123,E350900,宁德市,current_panel_entity,福建省,福建,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-1998 宁德地区; 1999-2026 宁德市,1,,
CNUR-000124,E360100,南昌市,current_panel_entity,江西省,江西,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 南昌市,0,,
CNUR-000125,E360200,景德镇市,current_panel_entity,江西省,江西,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 景德镇市,0,,
CNUR-000126,E360300,萍乡市,current_panel_entity,江西省,江西,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 萍乡市,0,,
CNUR-000127,E360400,九江市,current_panel_entity,江西省,江西,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 九江市,0,,
CNUR-000128,E360500,新余市,current_panel_entity,江西省,江西,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 新余市,0,,
CNUR-000129,E360600,鹰潭市,current_panel_entity,江西省,江西,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 鹰潭市,0,,
CNUR-000130,E360700,赣州市,current_panel_entity,江西省,江西,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-1997 赣州地区; 1998-2026 赣州市,1,,
CNUR-000131,E360800,吉安市,current_panel_entity,江西省,江西,prefecture_research_entity,1987,2026,active,event_crosschecked,1987-1999 吉安地区; 2000-2026 吉安市,1,,
CNUR-000132,E360900,宜春市,current_panel_entity,江西省,江西,prefecture_research_entity,1987,2026,active,event_crosschecked,1987-1999 宜春地区; 2000-2026 宜春市,1,,
CNUR-000133,E361000,抚州市,current_panel_entity,江西省,江西,prefecture_research_entity,1987,2026,active,event_crosschecked,1987-1999 抚州地区; 2000-2026 抚州市,1,,
CNUR-000134,E361100,上饶市,current_panel_entity,江西省,江西,prefecture_research_entity,1987,2026,active,event_crosschecked,1987-1999 上饶地区; 2000-2026 上饶市,1,,
CNUR-000135,E370100,济南市,current_panel_entity,山东省,山东,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 济南市,0,,
CNUR-000136,E370200,青岛市,current_panel_entity,山东省,山东,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 青岛市,0,,
CNUR-000137,E370300,淄博市,current_panel_entity,山东省,山东,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 淄博市,0,,
CNUR-000138,E370400,枣庄市,current_panel_entity,山东省,山东,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 枣庄市,0,,
CNUR-000139,E370500,东营市,current_panel_entity,山东省,山东,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 东营市,0,,
CNUR-000140,E370600,烟台市,current_panel_entity,山东省,山东,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 烟台市,0,,
CNUR-000141,E370700,潍坊市,current_panel_entity,山东省,山东,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 潍坊市,0,,
CNUR-000142,E370800,济宁市,current_panel_entity,山东省,山东,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 济宁市,0,,
CNUR-000143,E370900,泰安市,current_panel_entity,山东省,山东,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 泰安市,0,,
CNUR-000144,E371000,威海市,current_panel_entity,山东省,山东,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 威海市,0,,
CNUR-000145,E371100,日照市,current_panel_entity,山东省,山东,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-2026 日照市,0,,
CNUR-000146,E371200,莱芜市,current_panel_entity,山东省,山东,prefecture_research_entity,1987,2018,abolished,wikipedia_verified,1987-2018 莱芜市; 2019-2026 [abolished],1,,
CNUR-000147,E371300,临沂市,current_panel_entity,山东省,山东,prefecture_research_entity,1987,2026,active,wikipedia_entity_verified,1987-1993 临沂地区; 1994-2026 临沂市,1,,
