entity_id,name_2000,name_2001,name_2002,name_2003,name_2004,name_2005,name_2006,name_2007,name_2008,name_2009,name_2010,name_2011,name_2012,name_2013,name_2014,name_2015,name_2016,name_2017,name_2018,name_2019,name_2020,name_2021,name_2022,name_2023,name_2024
E152200,兴安盟,兴安盟,兴安盟,兴安盟,兴安盟,兴安盟,兴安盟,兴安盟,兴安盟,兴安盟,兴安盟,兴安盟,兴安盟,兴安盟,兴安盟,兴安盟,兴安盟,兴安盟,兴安盟,兴安盟,兴安盟,兴安盟,兴安盟,兴安盟,兴安盟
E152500,锡林郭勒盟,锡林郭勒盟,锡林郭勒盟,锡林郭勒盟,锡林郭勒盟,锡林郭勒盟,锡林郭勒盟,锡林郭勒盟,锡林郭勒盟,锡林郭勒盟,锡林郭勒盟,锡林郭勒盟,锡林郭勒盟,锡林郭勒盟,锡林郭勒盟,锡林郭勒盟,锡林郭勒盟,锡林郭勒盟,锡林郭勒盟,锡林郭勒盟,锡林郭勒盟,锡林郭勒盟,锡林郭勒盟,锡林郭勒盟,锡林郭勒盟
E152900,阿拉善盟,阿拉善盟,阿拉善盟,阿拉善盟,阿拉善盟,阿拉善盟,阿拉善盟,阿拉善盟,阿拉善盟,阿拉善盟,阿拉善盟,阿拉善盟,阿拉善盟,阿拉善盟,阿拉善盟,阿拉善盟,阿拉善盟,阿拉善盟,阿拉善盟,阿拉善盟,阿拉善盟,阿拉善盟,阿拉善盟,阿拉善盟,阿拉善盟
E210100,沈阳市,沈阳市,沈阳市,沈阳市,沈阳市,沈阳市,沈阳市,沈阳市,沈阳市,沈阳市,沈阳市,沈阳市,沈阳市,沈阳市,沈阳市,沈阳市,沈阳市,沈阳市,沈阳市,沈阳市,沈阳市,沈阳市,沈阳市,沈阳市,沈阳市
E210200,大连市,大连市,大连市,大连市,大连市,大连市,大连市,大连市,大连市,大连市,大连市,大连市,大连市,大连市,大连市,大连市,大连市,大连市,大连市,大连市,大连市,大连市,大连市,大连市,大连市
E210300,鞍山市,鞍山市,鞍山市,鞍山市,鞍山市,鞍山市,鞍山市,鞍山市,鞍山市,鞍山市,鞍山市,鞍山市,鞍山市,鞍山市,鞍山市,鞍山市,鞍山市,鞍山市,鞍山市,鞍山市,鞍山市,鞍山市,鞍山市,鞍山市,鞍山市
E210400,抚顺市,抚顺市,抚顺市,抚顺市,抚顺市,抚顺市,抚顺市,抚顺市,抚顺市,抚顺市,抚顺市,抚顺市,抚顺市,抚顺市,抚顺市,抚顺市,抚顺市,抚顺市,抚顺市,抚顺市,抚顺市,抚顺市,抚顺市,抚顺市,抚顺市
E210500,本溪市,本溪市,本溪市,本溪市,本溪市,本溪市,本溪市,本溪市,本溪市,本溪市,本溪市,本溪市,本溪市,本溪市,本溪市,本溪市,本溪市,本溪市,本溪市,本溪市,本溪市,本溪市,本溪市,本溪市,本溪市
E210600,丹东市,丹东市,丹东市,丹东市,丹东市,丹东市,丹东市,丹东市,丹东市,丹东市,丹东市,丹东市,丹东市,丹东市,丹东市,丹东市,丹东市,丹东市,丹东市,丹东市,丹东市,丹东市,丹东市,丹东市,丹东市
E210700,锦州市,锦州市,锦州市,锦州市,锦州市,锦州市,锦州市,锦州市,锦州市,锦州市,锦州市,锦州市,锦州市,锦州市,锦州市,锦州市,锦州市,锦州市,锦州市,锦州市,锦州市,锦州市,锦州市,锦州市,锦州市
E210800,营口市,营口市,营口市,营口市,营口市,营口市,营口市,营口市,营口市,营口市,营口市,营口市,营口市,营口市,营口市,营口市,营口市,营口市,营口市,营口市,营口市,营口市,营口市,营口市,营口市
E210900,阜新市,阜新市,阜新市,阜新市,阜新市,阜新市,阜新市,阜新市,阜新市,阜新市,阜新市,阜新市,阜新市,阜新市,阜新市,阜新市,阜新市,阜新市,阜新市,阜新市,阜新市,阜新市,阜新市,阜新市,阜新市
E211000,辽阳市,辽阳市,辽阳市,辽阳市,辽阳市,辽阳市,辽阳市,辽阳市,辽阳市,辽阳市,辽阳市,辽阳市,辽阳市,辽阳市,辽阳市,辽阳市,辽阳市,辽阳市,辽阳市,辽阳市,辽阳市,辽阳市,辽阳市,辽阳市,辽阳市
E211100,盘锦市,盘锦市,盘锦市,盘锦市,盘锦市,盘锦市,盘锦市,盘锦市,盘锦市,盘锦市,盘锦市,盘锦市,盘锦市,盘锦市,盘锦市,盘锦市,盘锦市,盘锦市,盘锦市,盘锦市,盘锦市,盘锦市,盘锦市,盘锦市,盘锦市
E211200,铁岭市,铁岭市,铁岭市,铁岭市,铁岭市,铁岭市,铁岭市,铁岭市,铁岭市,铁岭市,铁岭市,铁岭市,铁岭市,铁岭市,铁岭市,铁岭市,铁岭市,铁岭市,铁岭市,铁岭市,铁岭市,铁岭市,铁岭市,铁岭市,铁岭市
E211300,朝阳市,朝阳市,朝阳市,朝阳市,朝阳市,朝阳市,朝阳市,朝阳市,朝阳市,朝阳市,朝阳市,朝阳市,朝阳市,朝阳市,朝阳市,朝阳市,朝阳市,朝阳市,朝阳市,朝阳市,朝阳市,朝阳市,朝阳市,朝阳市,朝阳市
E211400,葫芦岛市,葫芦岛市,葫芦岛市,葫芦岛市,葫芦岛市,葫芦岛市,葫芦岛市,葫芦岛市,葫芦岛市,葫芦岛市,葫芦岛市,葫芦岛市,葫芦岛市,葫芦岛市,葫芦岛市,葫芦岛市,葫芦岛市,葫芦岛市,葫芦岛市,葫芦岛市,葫芦岛市,葫芦岛市,葫芦岛市,葫芦岛市,葫芦岛市
E220100,长春市,长春市,长春市,长春市,长春市,长春市,长春市,长春市,长春市,长春市,长春市,长春市,长春市,长春市,长春市,长春市,长春市,长春市,长春市,长春市,长春市,长春市,长春市,长春市,长春市
E220200,吉林市,吉林市,吉林市,吉林市,吉林市,吉林市,吉林市,吉林市,吉林市,吉林市,吉林市,吉林市,吉林市,吉林市,吉林市,吉林市,吉林市,吉林市,吉林市,吉林市,吉林市,吉林市,吉林市,吉林市,吉林市
E220300,四平市,四平市,四平市,四平市,四平市,四平市,四平市,四平市,四平市,四平市,四平市,四平市,四平市,四平市,四平市,四平市,四平市,四平市,四平市,四平市,四平市,四平市,四平市,四平市,四平市
E220400,辽源市,辽源市,辽源市,辽源市,辽源市,辽源市,辽源市,辽源市,辽源市,辽源市,辽源市,辽源市,辽源市,辽源市,辽源市,辽源市,辽源市,辽源市,辽源市,辽源市,辽源市,辽源市,辽源市,辽源市,辽源市
E220500,通化市,通化市,通化市,通化市,通化市,通化市,通化市,通化市,通化市,通化市,通化市,通化市,通化市,通化市,通化市,通化市,通化市,通化市,通化市,通化市,通化市,通化市,通化市,通化市,通化市
E220600,白山市,白山市,白山市,白山市,白山市,白山市,白山市,白山市,白山市,白山市,白山市,白山市,白山市,白山市,白山市,白山市,白山市,白山市,白山市,白山市,白山市,白山市,白山市,白山市,白山市
E220700,松原市,松原市,松原市,松原市,松原市,松原市,松原市,松原市,松原市,松原市,松原市,松原市,松原市,松原市,松原市,松原市,松原市,松原市,松原市,松原市,松原市,松原市,松原市,松原市,松原市
E220800,白城市,白城市,白城市,白城市,白城市,白城市,白城市,白城市,白城市,白城市,白城市,白城市,白城市,白城市,白城市,白城市,白城市,白城市,白城市,白城市,白城市,白城市,白城市,白城市,白城市
E222400,延边朝鲜族自治州,延边朝鲜族自治州,延边朝鲜族自治州,延边朝鲜族自治州,延边朝鲜族自治州,延边朝鲜族自治州,延边朝鲜族自治州,延边朝鲜族自治州,延边朝鲜族自治州,延边朝鲜族自治州,延边朝鲜族自治州,延边朝鲜族自治州,延边朝鲜族自治州,延边朝鲜族自治州,延边朝鲜族自治州,延边朝鲜族自治州,延边朝鲜族自治州,延边朝鲜族自治州,延边朝鲜族自治州,延边朝鲜族自治州,延边朝鲜族自治州,延边朝鲜族自治州,延边朝鲜族自治州,延边朝鲜族自治州,延边朝鲜族自治州
