entity_id,name,start_year,end_year
E445200,揭阳市,2000,2024
E445300,云浮市,2000,2024
E450100,南宁市,2000,2024
E450200,柳州市,2000,2024
E450300,桂林市,2000,2024
E450400,梧州市,2000,2024
E450500,北海市,2000,2024
E450600,防城港市,2000,2024
E450700,钦州市,2000,2024
E450800,贵港市,2000,2024
E450900,玉林市,2000,2024
E451000,百色地区,2000,2001
E451000,百色市,2002,2024
E451100,贺州地区,2000,2001
E451100,贺州市,2002,2024
E451200,河池地区,2000,2001
E451200,河池市,2002,2024
E451300,柳州地区,2000,2001
E451300,来宾市,2002,2024
E451400,南宁地区,2000,2001
E451400,崇左市,2002,2024
E460100,海口市,2000,2024
E460200,三亚市,2000,2024
E460300,三沙市,2000,2024
E460400,儋州市,2000,2024
E500100,重庆市,2000,2024
E510100,成都市,2000,2024
E510300,自贡市,2000,2024
E510400,攀枝花市,2000,2024
E510500,泸州市,2000,2024
E510600,德阳市,2000,2024
E510700,绵阳市,2000,2024
E510800,广元市,2000,2024
E510900,遂宁市,2000,2024
E511000,内江市,2000,2024
E511100,乐山市,2000,2024
E511300,南充市,2000,2024
E511400,眉山市,2000,2024
E511500,宜宾市,2000,2024
E511600,广安市,2000,2024
E511700,达州市,2000,2024
E511800,雅安市,2000,2024
E511900,巴中市,2000,2024
E512000,资阳市,2000,2024
E513200,阿坝藏族羌族自治州,2000,2024
E513300,甘孜藏族自治州,2000,2024
E513400,凉山彝族自治州,2000,2024
E520100,贵阳市,2000,2024
E520200,六盘水市,2000,2024
E520300,遵义市,2000,2024
E520400,安顺市,2000,2024
E520500,毕节地区,2000,2010
E520500,毕节市,2011,2024
E520600,铜仁地区,2000,2010
E520600,铜仁市,2011,2024
E522300,黔西南布依族苗族自治州,2000,2024
E522600,黔东南苗族侗族自治州,2000,2024
E522700,黔南布依族苗族自治州,2000,2024
E530100,昆明市,2000,2024
E530300,曲靖市,2000,2024
E530400,玉溪市,2000,2024
E530500,保山市,2000,2024
E530600,昭通地区,2000,2000
E530600,昭通市,2001,2024
E530700,丽江地区,2000,2001
E530700,丽江市,2002,2024
E530800,思茅市,2000,2006
E530800,普洱市,2007,2024
E530900,临沧地区,2000,2001
E530900,临沧市,2002,2024
E532300,楚雄彝族自治州,2000,2024
E532500,红河哈尼族彝族自治州,2000,2024
E532600,文山壮族苗族自治州,2000,2024
E532800,西双版纳傣族自治州,2000,2024
E532900,大理白族自治州,2000,2024
E533100,德宏傣族景颇族自治州,2000,2024
E533300,怒江傈僳族自治州,2000,2024
E533400,中甸县,2000,2000
E533400,香格里拉县,2001,2014
E533400,香格里拉市,2015,2024
E540100,拉萨市,2000,2024
E540200,日喀则地区,2000,2013
E540200,日喀则市,2014,2024
E540300,昌都市,2000,2024
E540400,林芝地区,2000,2014
E540400,林芝市,2015,2024
E540500,山南地区,2000,2015
E540500,山南市,2016,2024
E540600,那曲地区,2000,2016
E540600,那曲市,2017,2024
E542500,阿里地区,2000,2024
E610100,西安市,2000,2024
E610200,铜川市,2000,2024
E610300,宝鸡市,2000,2024
E610400,咸阳市,2000,2024
E610500,渭南市,2000,2024
E610600,延安市,2000,2024
E610700,汉中市,2000,2024
E610800,榆林市,2000,2024
E610900,安康市,2000,2024
E611000,商洛地区,2000,2000
E611000,商洛市,2001,2024
E620100,兰州市,2000,2024
E620200,嘉峪关市,2000,2024
E620300,金昌市,2000,2024
E620400,白银市,2000,2024
E620500,天水市,2000,2024
E620600,武威地区,2000,2000
E620600,武威市,2001,2024
E620700,张掖地区,2000,2001
E620700,张掖市,2002,2024
E620800,平凉地区,2000,2001
E620800,平凉市,2002,2024
E620900,酒泉地区,2000,2001
E620900,酒泉市,2002,2024
E621000,庆阳地区,2000,2001
E621000,庆阳市,2002,2024
E621100,定西地区,2000,2002
E621100,定西市,2003,2024
E621200,陇南地区,2000,2003
E621200,陇南市,2004,2024
E622900,临夏回族自治州,2000,2024
E623000,甘南藏族自治州,2000,2024
E630100,西宁市,2000,2024
E630200,海东地区,2000,2012
E630200,海东市,2013,2024
E632200,海北藏族自治州,2000,2024
E632300,黄南藏族自治州,2000,2024
E632500,海南藏族自治州,2000,2024
E632600,果洛藏族自治州,2000,2024
