entity_id,canonical_name_zh,entity_level,id_namespace,verification_status
E360300,萍乡市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E360400,九江市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E360500,新余市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E360600,鹰潭市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E360700,赣州市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E360800,吉安市,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
E360900,宜春市,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
E361000,抚州市,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
E361100,上饶市,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
E370100,济南市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E370200,青岛市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E370300,淄博市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E370400,枣庄市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E370500,东营市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E370600,烟台市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E370700,潍坊市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E370800,济宁市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E370900,泰安市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E371000,威海市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E371100,日照市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E371200,莱芜市,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_verified
E371300,临沂市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E371400,德州市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E371500,聊城市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E371600,滨州市,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
E371700,菏泽市,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
E410100,郑州市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E410200,开封市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E410300,洛阳市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E410400,平顶山市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E410500,安阳市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E410600,鹤壁市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E410700,新乡市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E410800,焦作市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E410900,濮阳市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E411000,许昌市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E411100,漯河市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E411200,三门峡市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E411300,南阳市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E411400,商丘市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E411500,信阳市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E411600,周口市,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
E411700,驻马店市,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
E420100,武汉市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E420200,黄石市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E420300,十堰市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E420500,宜昌市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E420600,襄阳市,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
E420700,鄂州市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E420800,荆门市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E420900,孝感市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E421000,荆州市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E421100,黄冈市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E421200,咸宁市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E421300,随州市,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
E422800,恩施土家族苗族自治州,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E430100,长沙市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E430200,株洲市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E430300,湘潭市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E430400,衡阳市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E430500,邵阳市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E430600,岳阳市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E430700,常德市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E430800,张家界市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E430900,益阳市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E431000,郴州市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E431100,永州市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E431200,怀化市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E431300,娄底市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E433100,湘西土家族苗族自治州,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E440100,广州市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E440200,韶关市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E440300,深圳市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E440400,珠海市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E440500,汕头市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E440600,佛山市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E440700,江门市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E440800,湛江市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E440900,茂名市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E441200,肇庆市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E441300,惠州市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E441400,梅州市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E441500,汕尾市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
