event_id,from_entity_id,to_entity_id,relation_type,mapping_quality,automatic_mapping,review_note
WIKI-1997-071,CNUR-000363,,split,event_only,false,梧州地区主要分为贺州地区并将三县市划归既有梧州市
WIKI-1997-072,CNUR-000247,,establish_prefecture,event_only,false,眉山地区 later became 眉山市
WIKI-1997-073,CNUR-000345,,abolish,event_only,false,中办厅字〔1997〕34号批复（1997-12-20）：撤销万县市设立重庆市万县区（1998年5月更名万州区）、撤销涪陵市设立涪陵区、撤销黔江地区设立黔江开发区（2000年6月改设黔江区）。1996年三地已由重庆市代管（见1996年划转事件）。
WIKI-1997-074,CNUR-000235,CNUR-000235,upgrade,exact,true,1997年3月14日八届全国人大五次会议批准设立重庆直辖市，1997年6月18日挂牌。重庆市由四川省辖计划单列市升格为直辖市，研究实体连续；万县市、涪陵市、黔江地区于1996年划归重庆代管（见1996年划转事件）。
WIKI-1998-073,CNUR-000109,CNUR-000109,upgrade,exact,true,
WIKI-1998-074,CNUR-000130,CNUR-000130,upgrade,exact,true,
WIKI-1998-075,CNUR-000166,CNUR-000166,upgrade,exact,true,
WIKI-1998-076,CNUR-000179,CNUR-000179,upgrade,exact,true,
WIKI-1998-077,CNUR-000249,CNUR-000249,upgrade,exact,true,
WIKI-1998-078,CNUR-000323,CNUR-000323,upgrade,exact,true,
WIKI-1998-079,CNUR-000361,,merge,event_only,false,1998年桂林市和桂林地区合并组建新的桂林市（国函〔1998〕73号）
WIKI-1998-080,CNUR-000253,,establish_prefecture,event_only,false,资阳地区 later became 资阳市
WIKI-1999-081,CNUR-000020,CNUR-000020,upgrade,exact,true,
WIKI-1999-082,CNUR-000071,CNUR-000071,upgrade,exact,true,
WIKI-1999-083,CNUR-000110,CNUR-000110,upgrade,exact,true,
WIKI-1999-084,CNUR-000111,CNUR-000111,upgrade,exact,true,
WIKI-1999-085,CNUR-000123,CNUR-000123,upgrade,exact,true,
WIKI-1999-086,CNUR-000194,CNUR-000194,upgrade,exact,true,
WIKI-1999-087,CNUR-000250,CNUR-000250,upgrade,exact,true,
WIKI-1999-088,CNUR-000296,CNUR-000296,upgrade,exact,true,
WIKI-1999-089,CNUR-000029,CNUR-000029,upgrade,exact,true,
PL-2000-001,CNUR-000131,CNUR-000131,upgrade,exact,true,地级市数量增加1；全部地级单位净变化0。
PL-2000-002,CNUR-000097,CNUR-000097,upgrade,exact,true,地级市数量增加1；全部地级单位净变化0。
PL-2000-003,CNUR-000132,CNUR-000132,upgrade,exact,true,地级市数量增加1；全部地级单位净变化0。
PL-2000-004,CNUR-000167,CNUR-000167,upgrade,exact,true,地级市数量增加1；全部地级单位净变化0。
PL-2000-005,CNUR-000168,CNUR-000168,upgrade,exact,true,地级市数量增加1；全部地级单位净变化0。
PL-2000-006,CNUR-000150,CNUR-000150,upgrade,exact,true,地级市数量增加1；全部地级单位净变化0。
PL-2000-007,CNUR-000247,CNUR-000247,upgrade,exact,true,地级市数量增加1；全部地级单位净变化0。
PL-2000-008,CNUR-000251,CNUR-000251,upgrade,exact,true,地级市数量增加1；全部地级单位净变化0。
PL-2000-009,CNUR-000252,CNUR-000252,upgrade,exact,true,地级市数量增加1；全部地级单位净变化0。
PL-2000-010,CNUR-000253,CNUR-000253,upgrade,exact,true,地级市数量增加1；全部地级单位净变化0。
PL-2000-011,CNUR-000021,CNUR-000021,upgrade,exact,true,地级市数量增加1；全部地级单位净变化0。
PL-2000-012,CNUR-000022,CNUR-000022,upgrade,exact,true,地级市数量增加1；全部地级单位净变化0。
PL-2000-013,CNUR-000023,CNUR-000023,upgrade,exact,true,地级市数量增加1；全部地级单位净变化0。
PL-2000-014,CNUR-000260,CNUR-000260,upgrade,exact,true,地级市数量增加1；全部地级单位净变化0。
PL-2000-015,CNUR-000297,CNUR-000297,upgrade,exact,true,地级市数量增加1；全部地级单位净变化0。
PL-2000-016,CNUR-000133,CNUR-000133,upgrade,exact,true,地级市数量增加1；全部地级单位净变化0。
PL-2000-017,CNUR-000134,CNUR-000134,upgrade,exact,true,地级市数量增加1；全部地级单位净变化0。
PL-2000-018,CNUR-000151,CNUR-000151,upgrade,exact,true,地级市数量增加1；全部地级单位净变化0。
PL-2000-019,CNUR-000113,CNUR-000113,upgrade,exact,true,地级市数量增加1；全部地级单位净变化0。
PL-2000-020,CNUR-000114,CNUR-000114,upgrade,exact,true,地级市数量增加1；全部地级单位净变化0。
PL-2000-021,CNUR-000269,CNUR-000269,upgrade,exact,true,地级市数量增加1；全部地级单位净变化0。
PL-2000-022,CNUR-000112,CNUR-000112,upgrade,exact,true,按用户口径计为新增地级市。
PL-2000-023,CNUR-000180,CNUR-000180,upgrade,exact,true,按用户口径计为新增地级市。
PL-2000-024,CNUR-000081,CNUR-000081,rename,exact,true,实体连续，地级单位净变化0。
PL-2001-001,CNUR-000270,CNUR-000270,upgrade,exact,true,地级市数量增加1；全部地级单位净变化0。
PL-2001-002,CNUR-000030,CNUR-000030,upgrade,exact,true,地级市数量增加1；全部地级单位净变化0。
PL-2001-003,CNUR-000304,CNUR-000304,upgrade,exact,true,地级市数量增加1；全部地级单位净变化0。
PL-2001-004,CNUR-000324,CNUR-000324,upgrade,exact,true,地级市数量增加1；全部地级单位净变化0。
PL-2001-005,CNUR-000298,CNUR-000298,upgrade,exact,true,地级市数量增加1；全部地级单位净变化0。
PL-2001-006,CNUR-000031,CNUR-000031,upgrade,exact,true,地级市数量增加1；全部地级单位净变化0。
PL-2001-007,CNUR-000338,,abolish,event_only,false,没有新设地级单位，全部地级单位净减少1。
PL-2002-001,CNUR-000305,CNUR-000305,upgrade,exact,true,部分新市名称与原地区驻地县不同，但仍属于地区撤销、新设地级市。
PL-2002-002,CNUR-000226,CNUR-000226,upgrade,exact,true,部分新市名称与原地区驻地县不同，但仍属于地区撤销、新设地级市。
PL-2002-003,CNUR-000306,CNUR-000306,upgrade,exact,true,部分新市名称与原地区驻地县不同，但仍属于地区撤销、新设地级市。
PL-2002-004,CNUR-000227,CNUR-000227,upgrade,exact,true,部分新市名称与原地区驻地县不同，但仍属于地区撤销、新设地级市。
PL-2002-005,CNUR-000228,CNUR-000228,upgrade,exact,true,部分新市名称与原地区驻地县不同，但仍属于地区撤销、新设地级市。
PL-2002-006,CNUR-000307,CNUR-000307,upgrade,exact,true,部分新市名称与原地区驻地县不同，但仍属于地区撤销、新设地级市。
PL-2002-007,CNUR-000308,CNUR-000308,upgrade,exact,true,部分新市名称与原地区驻地县不同，但仍属于地区撤销、新设地级市。
PL-2002-008,CNUR-000362,,split,event_only,false,部分新市名称与原地区驻地县不同，但仍属于地区撤销、新设地级市。
PL-2002-009,CNUR-000346,,split,event_only,false,部分新市名称与原地区驻地县不同，但仍属于地区撤销、新设地级市。
PL-2002-010,CNUR-000271,CNUR-000271,upgrade,exact,true,部分新市名称与原地区驻地县不同，但仍属于地区撤销、新设地级市。
PL-2003-001,CNUR-000309,CNUR-000309,upgrade,exact,true,地级市数量增加1；全部地级单位净变化0。
PL-2003-002,CNUR-000024,CNUR-000024,upgrade,exact,true,地级市数量增加1；全部地级单位净变化0。
PL-2003-003,CNUR-000272,CNUR-000272,upgrade,exact,true,地级市数量增加1；全部地级单位净变化0。
PL-2003-004,CNUR-000032,CNUR-000032,upgrade,exact,true,地级市数量增加1；全部地级单位净变化0。
PL-2003-005,CNUR-000033,CNUR-000033,upgrade,exact,true,地级市数量增加1；全部地级单位净变化0。
PL-2003-006,CNUR-000325,,establish,event_only,false,原单位为县级，按用户口径计为新增地级市。
PL-2004-001,CNUR-000310,CNUR-000310,upgrade,exact,true,地级市数量增加1；全部地级单位净变化0。
PL-2007-001,CNUR-000272,CNUR-000272,rename,exact,true,实体连续，地级单位净变化0。
PL-2010-001,CNUR-000173,CNUR-000173,rename,exact,true,名称和建制层级连续；新增与撤销均按历史名称记录，地级单位净变化为0。
PL-2011-001,CNUR-000110,,split,event_only,false,县级巢湖市是新县级单位，不计入地级新增。
PL-2011-002,CNUR-000261,CNUR-000261,upgrade,exact,true,地级市数量增加1；全部地级单位数量净变化0。
PL-2011-003,CNUR-000262,CNUR-000262,upgrade,exact,true,地级市数量增加1；全部地级单位数量净变化0。
PL-2012-001,CNUR-000233,,establish,event_only,false,原办事处不按地级行政单位计入撤销，因此地级单位净增1。
PL-2013-001,CNUR-000314,CNUR-000314,upgrade,exact,true,地级市数量增加1；全部地级单位数量净变化0。
PL-2014-001,CNUR-000283,CNUR-000283,upgrade,exact,true,同名县级市终止，不计作地级撤销。
PL-2015-001,CNUR-000234,CNUR-000234,upgrade,exact,true,按用户口径视为新增地级市；原县级市终止不计地级撤销。
PL-2015-002,CNUR-000285,CNUR-000285,upgrade,exact,true,地级市数量增加1；全部地级单位数量净变化0。
PL-2015-003,CNUR-000328,CNUR-000328,upgrade,exact,true,地级市数量增加1；全部地级单位数量净变化0。
PL-2016-001,CNUR-000286,CNUR-000286,upgrade,exact,true,按批准日期归入2016年；地级市数量增加1，全部地级单位净变化0。
PL-2016-002,CNUR-000329,CNUR-000329,upgrade,exact,true,同名县级市终止不计地级撤销。
PL-2017-001,CNUR-000287,CNUR-000287,upgrade,exact,true,按批准年份归入2017年；公布实施发生于2018年。
PL-2018-001,CNUR-000146,,merge,event_only,false,按批准年份归入2018年；济南市为既存地级市，不计新增。
WIKI-1993-034,CNUR-000343,CNUR-000015,split,disaggregate,false,seven former Yanbei counties transferred to Datong
WIKI-1993-034,CNUR-000343,CNUR-000019,split,disaggregate,false,"Huairen, Youyu, and Ying counties transferred to Shuozhou"
WIKI-1993-029,CNUR-000351,CNUR-000009,merge,aggregate,false,1993年河北地市合并：张家口地区并入张家口市（国函〔1993〕89号）
WIKI-1993-030,CNUR-000352,CNUR-000011,merge,aggregate,false,1993年河北地市合并：沧州地区并入沧州市（国函〔1993〕89号）
WIKI-1993-031,CNUR-000353,CNUR-000006,merge,aggregate,false,1993年河北地市合并：邯郸地区并入邯郸市（国函〔1993〕89号）
WIKI-1993-032,CNUR-000354,CNUR-000007,merge,aggregate,false,1993年河北地市合并：邢台地区并入邢台市（国函〔1993〕89号）
WIKI-1993-033,CNUR-000355,CNUR-000010,merge,aggregate,false,1993年河北地市合并：承德地区并入承德市（国函〔1993〕89号）
WIKI-1993-028,CNUR-000350,CNUR-000003,merge,aggregate,false,1993年河北地市合并：石家庄地区并入石家庄市（国函〔1993〕89号）
WIKI-1994-046,CNUR-000356,CNUR-000008,merge,aggregate,false,1994年保定地市合并（国函〔1994〕133号）：保定地区并入保定市
WIKI-1994-047,CNUR-000357,CNUR-000171,merge,aggregate,false,郧阳地区 merged into 十堰市
WIKI-1994-048,CNUR-000358,CNUR-000177,merge,aggregate,false,荆州地区与原地级沙市市共同组建新的荆沙市（后更名荆州市）
WIKI-1994-048,CNUR-000359,CNUR-000177,merge,aggregate,false,原地级沙市市与荆州地区共同组建新的荆沙市
WIKI-1988-010,CNUR-000347,CNUR-000206,split,disaggregate,false,惠阳地区撤销，惠州城区及部分县设立地级惠州市
WIKI-1988-010,CNUR-000347,CNUR-000208,split,disaggregate,false,惠阳地区析出海丰、陆丰设立汕尾市
WIKI-1988-010,CNUR-000347,CNUR-000209,split,disaggregate,false,惠阳地区析出河源县等设立河源市
WIKI-1997-071,CNUR-000363,CNUR-000220,split,disaggregate,false,梧州地区撤销，岑溪等县市划归梧州市
WIKI-1997-071,CNUR-000363,CNUR-000227,split,disaggregate,false,梧州地区主体更名为贺州地区（1997年）
WIKI-1996-061,CNUR-000360,CNUR-000060,merge,aggregate,false,1996年松花江地区与哈尔滨市合并（国函〔1996〕64号）
WIKI-1998-079,CNUR-000361,CNUR-000219,merge,aggregate,false,1998年桂林市和桂林地区合并组建新的桂林市（国函〔1998〕73号）
WIKI-1996-063,CNUR-000342,CNUR-000235,jurisdiction_transfer,aggregate,false,entrusted to Chongqing administration in 1996
WIKI-1996-063,CNUR-000344,CNUR-000235,jurisdiction_transfer,aggregate,false,entrusted to Chongqing administration in 1996
WIKI-1996-063,CNUR-000345,CNUR-000235,jurisdiction_transfer,aggregate,false,entrusted to Chongqing administration in 1996
WIKI-1997-073,CNUR-000342,CNUR-000235,abolish,aggregate,false,1997年12月撤销万县市设立重庆市万县区（1998年5月更名万州区）
WIKI-1997-073,CNUR-000344,CNUR-000235,abolish,aggregate,false,1997年12月撤销涪陵市设立重庆市涪陵区
WIKI-1997-073,CNUR-000345,CNUR-000235,abolish,aggregate,false,1997年12月撤销黔江地区设立重庆市黔江开发区（2000年6月改设黔江区）
PL-2002-008,CNUR-000362,CNUR-000218,split,disaggregate,false,柳州地区撤销，柳江等县划归柳州市
PL-2002-008,CNUR-000362,CNUR-000229,split,disaggregate,false,柳州地区析设地级来宾市
PL-2002-009,CNUR-000346,CNUR-000217,split,disaggregate,false,南宁地区撤销，部分县划归南宁市
PL-2002-009,CNUR-000346,CNUR-000230,split,disaggregate,false,南宁地区析设地级崇左市
PL-2011-001,CNUR-000110,CNUR-000098,split,disaggregate,false,巢湖市撤销，居巢区、庐江县划归合肥市
PL-2011-001,CNUR-000110,CNUR-000099,split,disaggregate,false,巢湖市撤销，无为县划归芜湖市
PL-2011-001,CNUR-000110,CNUR-000102,split,disaggregate,false,巢湖市撤销，含山县、和县划归马鞍山市
PL-2018-001,CNUR-000146,CNUR-000135,merge,aggregate,false,莱芜市并入济南市（2019年1月公布实施）
