year,title,page_url,revision_id,county_row_count,checked_at_utc,source_id,source_type,source_locator,source_confidence
2000,2000年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2000%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,67074265,28,2026-08-04T17:11:04+00:00,SRC-WIKI-2000,wikipedia,,revisioned_secondary
2001,2001年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2001%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,93196020,47,2026-08-04T17:11:04+00:00,SRC-WIKI-2001,wikipedia,,revisioned_secondary
2002,2002年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2002%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,93197934,44,2026-08-04T17:11:04+00:00,SRC-WIKI-2002,wikipedia,,revisioned_secondary
2003,2003年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2003%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,93199784,30,2026-08-04T17:11:04+00:00,SRC-WIKI-2003,wikipedia,,revisioned_secondary
2004,2004年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2004%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,93202041,20,2026-08-04T17:11:04+00:00,SRC-WIKI-2004,wikipedia,,revisioned_secondary
2005,2005年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2005%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,79571394,24,2026-08-04T17:11:04+00:00,SRC-WIKI-2005,wikipedia,,revisioned_secondary
2006,2006年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2006%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,86945526,21,2026-08-04T17:11:04+00:00,SRC-WIKI-2006,wikipedia,,revisioned_secondary
2007,2007年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2007%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,93208222,4,2026-08-04T17:11:04+00:00,SRC-WIKI-2007,wikipedia,,revisioned_secondary
2008,2008年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2008%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,67074123,4,2026-08-04T17:11:04+00:00,SRC-WIKI-2008,wikipedia,,revisioned_secondary
2009,2009年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2009%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,93217121,10,2026-08-04T17:11:04+00:00,SRC-WIKI-2009,wikipedia,,revisioned_secondary
2010,2010年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2010%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,93224037,15,2026-08-04T17:11:04+00:00,SRC-WIKI-2010,wikipedia,,revisioned_secondary
2011,2011年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2011%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,88403970,13,2026-08-04T17:11:04+00:00,SRC-WIKI-2011,wikipedia,,revisioned_secondary
2012,2012年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2012%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,67074044,17,2026-08-04T17:11:04+00:00,SRC-WIKI-2012,wikipedia,,revisioned_secondary
2013,2013年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2013%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,93242307,25,2026-08-04T17:11:04+00:00,SRC-WIKI-2013,wikipedia,,revisioned_secondary
2014,2014年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2014%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,93248443,38,2026-08-04T17:11:04+00:00,SRC-WIKI-2014,wikipedia,,revisioned_secondary
2015,2015年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2015%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,93253150,45,2026-08-04T17:11:04+00:00,SRC-WIKI-2015,wikipedia,,revisioned_secondary
2016,2016年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2016%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,77572371,47,2026-08-04T17:11:04+00:00,SRC-WIKI-2016,wikipedia,,revisioned_secondary
2017,2017年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2017%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,93265348,15,2026-08-04T17:11:04+00:00,SRC-WIKI-2017,wikipedia,,revisioned_secondary
2018,2018年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2018%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,93273619,28,2026-08-04T17:11:04+00:00,SRC-WIKI-2018,wikipedia,,revisioned_secondary
2019,2019年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2019%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,83308898,29,2026-08-04T17:11:04+00:00,SRC-WIKI-2019,wikipedia,,revisioned_secondary
2020,2020年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2020%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,71535094,24,2026-08-04T17:11:04+00:00,SRC-WIKI-2020,wikipedia,,revisioned_secondary
2021,2021年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2021%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,93718922,23,2026-08-04T17:11:04+00:00,SRC-WIKI-2021,wikipedia,,revisioned_secondary
2022,2022年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2022%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,93345798,23,2026-08-04T17:11:04+00:00,SRC-WIKI-2022,wikipedia,,revisioned_secondary
2023,2023年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2023%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,93353792,2,2026-08-04T17:11:04+00:00,SRC-WIKI-2023,wikipedia,,revisioned_secondary
2024,2024年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2024%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,91362859,9,2026-08-04T17:11:04+00:00,SRC-WIKI-2024,wikipedia,,revisioned_secondary
2025,2025年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2025%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,92045514,3,2026-08-04T17:11:04+00:00,SRC-WIKI-2025,wikipedia,,revisioned_secondary
2026,2026年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/2026%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,92657320,3,2026-08-04T17:11:04+00:00,SRC-WIKI-2026,wikipedia,,revisioned_secondary
