alias,entity_id,alias_type,start_year,end_year,level,source_id,review_status,rule_version
临汾,E141000,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
吕梁,E141100,suffix_omitted,2000,2002,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
吕梁,E141100,suffix_omitted,2003,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
呼和浩特,E150100,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
包头,E150200,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
乌海,E150300,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
赤峰,E150400,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
通辽,E150500,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
伊克昭,E150600,suffix_omitted,2000,2000,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
鄂尔多斯,E150600,suffix_omitted,2001,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
呼伦贝尔,E150700,suffix_omitted,2000,2000,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
呼伦贝尔,E150700,suffix_omitted,2001,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
巴彦淖尔,E150800,suffix_omitted,2000,2002,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
巴彦淖尔,E150800,suffix_omitted,2003,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
乌兰察布,E150900,suffix_omitted,2000,2002,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
乌兰察布,E150900,suffix_omitted,2003,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
兴安,E152200,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
锡林郭勒,E152500,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
阿拉善,E152900,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
沈阳,E210100,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
大连,E210200,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
鞍山,E210300,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
抚顺,E210400,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
本溪,E210500,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
丹东,E210600,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
锦州,E210700,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
营口,E210800,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
阜新,E210900,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
辽阳,E211000,suffix_omitted,2000,2024,prefecture,SRC-LEGACY-SNAPSHOT,generated_reviewed,2026.07.1
