prefecture_entity_id,prefecture_name,year,county_to_district_count,district_merge_count,break_flag
CNUR-000083,扬州市,2000,1,0,1
CNUR-000083,扬州市,2011,1,0,1
CNUR-000084,镇江市,2002,1,0,1
CNUR-000085,泰州市,2012,1,0,1
CNUR-000086,宿迁市,2004,1,0,1
CNUR-000087,杭州市,2001,2,0,1
CNUR-000087,杭州市,2014,1,0,1
CNUR-000087,杭州市,2017,1,0,1
CNUR-000088,宁波市,2002,1,0,1
CNUR-000088,宁波市,2016,1,0,1
CNUR-000089,温州市,2001,1,0,1
CNUR-000089,温州市,2015,1,0,1
CNUR-000092,绍兴市,2001,1,0,1
CNUR-000092,绍兴市,2013,2,0,1
CNUR-000093,金华市,2000,1,0,1
CNUR-000094,衢州市,2001,1,0,1
CNUR-000098,合肥市,2002,1,0,1
CNUR-000099,芜湖市,2005,0,0,
CNUR-000099,芜湖市,2020,2,2,1
CNUR-000100,蚌埠市,2004,1,0,1
CNUR-000101,淮南市,2004,1,0,1
CNUR-000102,马鞍山市,2001,0,0,
CNUR-000102,马鞍山市,2012,0,1,
CNUR-000104,铜陵市,2015,1,0,1
CNUR-000105,安庆市,2005,0,0,
CNUR-000111,六安市,2015,0,0,
CNUR-000115,福州市,2017,1,0,1
CNUR-000116,厦门市,2003,0,0,
CNUR-000117,莆田市,2002,0,0,
CNUR-000121,南平市,2014,1,0,1
CNUR-000122,龙岩市,2014,1,0,1
CNUR-000124,南昌市,2004,0,0,
CNUR-000124,南昌市,2015,1,0,1
CNUR-000124,南昌市,2019,0,1,
CNUR-000127,九江市,2017,1,0,1
CNUR-000129,鹰潭市,2018,1,0,1
CNUR-000130,赣州市,2013,1,0,1
CNUR-000130,赣州市,2016,1,0,1
CNUR-000133,抚州市,2016,1,0,1
CNUR-000134,上饶市,2015,1,0,1
CNUR-000134,上饶市,2019,1,0,1
CNUR-000135,济南市,2001,1,0,1
CNUR-000135,济南市,2016,1,0,1
CNUR-000135,济南市,2018,1,0,1
CNUR-000135,济南市,2019,0,0,
CNUR-000136,青岛市,2012,0,1,
CNUR-000136,青岛市,2017,1,0,1
CNUR-000139,东营市,2016,1,0,1
CNUR-000142,济宁市,2013,0,1,
CNUR-000144,威海市,2014,1,0,1
CNUR-000145,日照市,2004,0,0,
CNUR-000146,莱芜市,2018,0,0,
CNUR-000146,莱芜市,2019,0,0,
CNUR-000148,德州市,2014,1,0,1
CNUR-000149,聊城市,2019,1,0,1
CNUR-000150,滨州市,2014,1,0,1
CNUR-000151,菏泽市,2016,1,0,1
CNUR-000153,开封市,2005,0,0,
CNUR-000153,开封市,2014,1,0,1
CNUR-000154,洛阳市,2000,0,0,
CNUR-000158,新乡市,2003,0,0,
CNUR-000161,许昌市,2016,1,0,1
CNUR-000162,漯河市,2004,1,0,1
CNUR-000163,三门峡市,2015,1,0,1
CNUR-000167,周口市,2019,1,0,1
CNUR-000168,驻马店市,2001,1,0,1
CNUR-000171,十堰市,2014,1,0,1
CNUR-000172,宜昌市,2001,1,0,1
CNUR-000173,襄阳市,2001,1,0,1
CNUR-000175,荆门市,2001,0,0,
CNUR-000182,长沙市,2011,1,0,1
CNUR-000183,株洲市,2018,1,0,1
CNUR-000196,广州市,2000,2,0,1
CNUR-000196,广州市,2005,0,0,
CNUR-000196,广州市,2012,0,0,
CNUR-000196,广州市,2014,2,0,1
CNUR-000197,韶关市,2004,1,0,1
CNUR-000198,深圳市,2016,0,0,
CNUR-000198,深圳市,2018,0,0,
CNUR-000199,珠海市,2001,1,0,1
CNUR-000200,汕头市,2003,2,0,1
CNUR-000201,佛山市,2002,4,0,1
