entity_id,name_zh,start_year,end_year,legal_status,verification_status,derivation_basis
CNUR-000055,通化市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000056,浑江市,1987,1993,active,reviewed,reviewed_event_chain
CNUR-000056,白山市,1994,2026,active,reviewed,reviewed_event_chain
CNUR-000057,,1987,1991,not_established,inferred,event_chain_inference
CNUR-000057,松原市,1992,2026,active,reviewed,reviewed_event_chain
CNUR-000058,白城地区,1987,1992,active,reviewed,reviewed_event_chain
CNUR-000058,白城市,1993,2026,active,reviewed,reviewed_event_chain
CNUR-000059,延边朝鲜族自治州,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000060,哈尔滨市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000061,齐齐哈尔市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000062,鸡西市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000063,鹤岗市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000064,双鸭山市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000065,大庆市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000066,伊春市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000067,佳木斯市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000068,七台河市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000069,牡丹江市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000070,黑河地区,1987,1992,active,reviewed,reviewed_event_chain
CNUR-000070,黑河市,1993,2026,active,reviewed,reviewed_event_chain
CNUR-000071,绥化地区,1987,1998,active,reviewed,reviewed_event_chain
CNUR-000071,绥化市,1999,2026,active,reviewed,reviewed_event_chain
CNUR-000072,大兴安岭地区,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000073,上海市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000074,南京市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000075,无锡市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000076,徐州市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000077,常州市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000078,苏州市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000079,南通市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000080,连云港市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000081,淮阴市,1987,1999,active,reviewed,reviewed_event_chain
CNUR-000081,淮安市,2000,2026,active,reviewed,existing_2000_2024_roster
CNUR-000082,盐城市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000083,扬州市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000084,镇江市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000085,,1987,1995,not_established,inferred,event_chain_inference
CNUR-000085,泰州市,1996,2026,active,reviewed,reviewed_event_chain
CNUR-000086,,1987,1995,not_established,inferred,event_chain_inference
CNUR-000086,宿迁市,1996,2026,active,reviewed,reviewed_event_chain
CNUR-000087,杭州市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000088,宁波市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000089,温州市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000090,嘉兴市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000091,湖州市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000092,绍兴市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000093,金华市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000094,衢州市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000095,舟山市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000096,台州地区,1987,1993,active,reviewed,reviewed_event_chain
CNUR-000096,台州市,1994,2026,active,reviewed,reviewed_event_chain
CNUR-000097,丽水地区,1987,1999,active,reviewed,reviewed_event_chain
CNUR-000097,丽水市,2000,2026,active,reviewed,existing_2000_2024_roster
CNUR-000098,合肥市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000099,芜湖市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000100,蚌埠市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000101,淮南市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000102,马鞍山市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000103,淮北市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000104,铜陵市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000105,安庆市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000106,黄山市,1987,2026,active,reviewed,reviewed_event_chain
CNUR-000107,滁县地区,1987,1991,active,reviewed,reviewed_event_chain
