entity_id,legacy_entity_id,canonical_name_zh,entity_scope,id_status
CNUR-000196,E440100,广州市,current_panel_entity,permanent
CNUR-000197,E440200,韶关市,current_panel_entity,permanent
CNUR-000198,E440300,深圳市,current_panel_entity,permanent
CNUR-000199,E440400,珠海市,current_panel_entity,permanent
CNUR-000200,E440500,汕头市,current_panel_entity,permanent
CNUR-000201,E440600,佛山市,current_panel_entity,permanent
CNUR-000202,E440700,江门市,current_panel_entity,permanent
CNUR-000203,E440800,湛江市,current_panel_entity,permanent
CNUR-000204,E440900,茂名市,current_panel_entity,permanent
CNUR-000205,E441200,肇庆市,current_panel_entity,permanent
CNUR-000206,E441300,惠州市,current_panel_entity,permanent
CNUR-000207,E441400,梅州市,current_panel_entity,permanent
CNUR-000208,E441500,汕尾市,current_panel_entity,permanent
CNUR-000209,E441600,河源市,current_panel_entity,permanent
CNUR-000210,E441700,阳江市,current_panel_entity,permanent
CNUR-000211,E441800,清远市,current_panel_entity,permanent
CNUR-000212,E441900,东莞市,current_panel_entity,permanent
CNUR-000213,E442000,中山市,current_panel_entity,permanent
CNUR-000214,E445100,潮州市,current_panel_entity,permanent
CNUR-000215,E445200,揭阳市,current_panel_entity,permanent
CNUR-000216,E445300,云浮市,current_panel_entity,permanent
CNUR-000217,E450100,南宁市,current_panel_entity,permanent
CNUR-000218,E450200,柳州市,current_panel_entity,permanent
CNUR-000219,E450300,桂林市,current_panel_entity,permanent
CNUR-000220,E450400,梧州市,current_panel_entity,permanent
CNUR-000221,E450500,北海市,current_panel_entity,permanent
CNUR-000222,E450600,防城港市,current_panel_entity,permanent
CNUR-000223,E450700,钦州市,current_panel_entity,permanent
CNUR-000224,E450800,贵港市,current_panel_entity,permanent
CNUR-000225,E450900,玉林市,current_panel_entity,permanent
CNUR-000226,E451000,百色市,current_panel_entity,permanent
CNUR-000227,E451100,贺州市,current_panel_entity,permanent
CNUR-000228,E451200,河池市,current_panel_entity,permanent
CNUR-000229,E451300,来宾市,current_panel_entity,permanent
CNUR-000230,E451400,崇左市,current_panel_entity,permanent
CNUR-000231,E460100,海口市,current_panel_entity,permanent
CNUR-000232,E460200,三亚市,current_panel_entity,permanent
CNUR-000233,E460300,三沙市,current_panel_entity,permanent
CNUR-000234,E460400,儋州市,current_panel_entity,permanent
CNUR-000235,E500100,重庆市,current_panel_entity,permanent
CNUR-000236,E510100,成都市,current_panel_entity,permanent
CNUR-000237,E510300,自贡市,current_panel_entity,permanent
CNUR-000238,E510400,攀枝花市,current_panel_entity,permanent
CNUR-000239,E510500,泸州市,current_panel_entity,permanent
CNUR-000240,E510600,德阳市,current_panel_entity,permanent
CNUR-000241,E510700,绵阳市,current_panel_entity,permanent
CNUR-000242,E510800,广元市,current_panel_entity,permanent
CNUR-000243,E510900,遂宁市,current_panel_entity,permanent
CNUR-000244,E511000,内江市,current_panel_entity,permanent
CNUR-000245,E511100,乐山市,current_panel_entity,permanent
CNUR-000246,E511300,南充市,current_panel_entity,permanent
CNUR-000247,E511400,眉山市,current_panel_entity,permanent
CNUR-000248,E511500,宜宾市,current_panel_entity,permanent
CNUR-000249,E511600,广安市,current_panel_entity,permanent
CNUR-000250,E511700,达州市,current_panel_entity,permanent
CNUR-000251,E511800,雅安市,current_panel_entity,permanent
CNUR-000252,E511900,巴中市,current_panel_entity,permanent
CNUR-000253,E512000,资阳市,current_panel_entity,permanent
CNUR-000254,E513200,阿坝藏族羌族自治州,current_panel_entity,permanent
CNUR-000255,E513300,甘孜藏族自治州,current_panel_entity,permanent
CNUR-000256,E513400,凉山彝族自治州,current_panel_entity,permanent
CNUR-000257,E520100,贵阳市,current_panel_entity,permanent
CNUR-000258,E520200,六盘水市,current_panel_entity,permanent
CNUR-000259,E520300,遵义市,current_panel_entity,permanent
CNUR-000260,E520400,安顺市,current_panel_entity,permanent
CNUR-000261,E520500,毕节市,current_panel_entity,permanent
CNUR-000262,E520600,铜仁市,current_panel_entity,permanent
CNUR-000263,E522300,黔西南布依族苗族自治州,current_panel_entity,permanent
CNUR-000264,E522600,黔东南苗族侗族自治州,current_panel_entity,permanent
CNUR-000265,E522700,黔南布依族苗族自治州,current_panel_entity,permanent
CNUR-000266,E530100,昆明市,current_panel_entity,permanent
CNUR-000267,E530300,曲靖市,current_panel_entity,permanent
CNUR-000268,E530400,玉溪市,current_panel_entity,permanent
CNUR-000269,E530500,保山市,current_panel_entity,permanent
CNUR-000270,E530600,昭通市,current_panel_entity,permanent
CNUR-000271,E530700,丽江市,current_panel_entity,permanent
CNUR-000272,E530800,普洱市,current_panel_entity,permanent
CNUR-000273,E530900,临沧市,current_panel_entity,permanent
CNUR-000274,E532300,楚雄彝族自治州,current_panel_entity,permanent
CNUR-000275,E532500,红河哈尼族彝族自治州,current_panel_entity,permanent
CNUR-000276,E532600,文山壮族苗族自治州,current_panel_entity,permanent
CNUR-000277,E532800,西双版纳傣族自治州,current_panel_entity,permanent
CNUR-000278,E532900,大理白族自治州,current_panel_entity,permanent
CNUR-000279,E533100,德宏傣族景颇族自治州,current_panel_entity,permanent
CNUR-000280,E533300,怒江傈僳族自治州,current_panel_entity,permanent
CNUR-000281,E533400,迪庆藏族自治州,current_panel_entity,permanent
CNUR-000282,E540100,拉萨市,current_panel_entity,permanent
CNUR-000283,E540200,日喀则市,current_panel_entity,permanent
CNUR-000284,E540300,昌都市,current_panel_entity,permanent
CNUR-000285,E540400,林芝市,current_panel_entity,permanent
CNUR-000286,E540500,山南市,current_panel_entity,permanent
CNUR-000287,E540600,那曲市,current_panel_entity,permanent
CNUR-000288,E542500,阿里地区,current_panel_entity,permanent
CNUR-000289,E610100,西安市,current_panel_entity,permanent
CNUR-000290,E610200,铜川市,current_panel_entity,permanent
CNUR-000291,E610300,宝鸡市,current_panel_entity,permanent
CNUR-000292,E610400,咸阳市,current_panel_entity,permanent
CNUR-000293,E610500,渭南市,current_panel_entity,permanent
CNUR-000294,E610600,延安市,current_panel_entity,permanent
CNUR-000295,E610700,汉中市,current_panel_entity,permanent
CNUR-000296,E610800,榆林市,current_panel_entity,permanent
CNUR-000297,E610900,安康市,current_panel_entity,permanent
CNUR-000298,E611000,商洛市,current_panel_entity,permanent
CNUR-000299,E620100,兰州市,current_panel_entity,permanent
CNUR-000300,E620200,嘉峪关市,current_panel_entity,permanent
CNUR-000301,E620300,金昌市,current_panel_entity,permanent
CNUR-000302,E620400,白银市,current_panel_entity,permanent
CNUR-000303,E620500,天水市,current_panel_entity,permanent
CNUR-000304,E620600,武威市,current_panel_entity,permanent
CNUR-000305,E620700,张掖市,current_panel_entity,permanent
CNUR-000306,E620800,平凉市,current_panel_entity,permanent
CNUR-000307,E620900,酒泉市,current_panel_entity,permanent
CNUR-000308,E621000,庆阳市,current_panel_entity,permanent
CNUR-000309,E621100,定西市,current_panel_entity,permanent
CNUR-000310,E621200,陇南市,current_panel_entity,permanent
CNUR-000311,E622900,临夏回族自治州,current_panel_entity,permanent
CNUR-000312,E623000,甘南藏族自治州,current_panel_entity,permanent
CNUR-000313,E630100,西宁市,current_panel_entity,permanent
CNUR-000314,E630200,海东市,current_panel_entity,permanent
CNUR-000315,E632200,海北藏族自治州,current_panel_entity,permanent
CNUR-000316,E632300,黄南藏族自治州,current_panel_entity,permanent
CNUR-000317,E632500,海南藏族自治州,current_panel_entity,permanent
CNUR-000318,E632600,果洛藏族自治州,current_panel_entity,permanent
CNUR-000319,E632700,玉树藏族自治州,current_panel_entity,permanent
CNUR-000320,E632800,海西蒙古族藏族自治州,current_panel_entity,permanent
CNUR-000321,E640100,银川市,current_panel_entity,permanent
CNUR-000322,E640200,石嘴山市,current_panel_entity,permanent
CNUR-000323,E640300,吴忠市,current_panel_entity,permanent
CNUR-000324,E640400,固原市,current_panel_entity,permanent
CNUR-000325,E640500,中卫市,current_panel_entity,permanent
CNUR-000326,E650100,乌鲁木齐市,current_panel_entity,permanent
CNUR-000327,E650200,克拉玛依市,current_panel_entity,permanent
CNUR-000328,E650400,吐鲁番市,current_panel_entity,permanent
CNUR-000329,E650500,哈密市,current_panel_entity,permanent
CNUR-000330,E652300,昌吉回族自治州,current_panel_entity,permanent
CNUR-000331,E652700,博尔塔拉蒙古自治州,current_panel_entity,permanent
CNUR-000332,E652800,巴音郭楞蒙古自治州,current_panel_entity,permanent
CNUR-000333,E652900,阿克苏地区,current_panel_entity,permanent
CNUR-000334,E653000,克孜勒苏柯尔克孜自治州,current_panel_entity,permanent
CNUR-000335,E653100,喀什地区,current_panel_entity,permanent
CNUR-000336,E653200,和田地区,current_panel_entity,permanent
CNUR-000337,E654000,伊犁哈萨克自治州,current_panel_entity,permanent
CNUR-000338,E654100,伊犁地区,current_panel_entity,permanent
CNUR-000339,E654200,塔城地区,current_panel_entity,permanent
CNUR-000340,E654300,阿勒泰地区,current_panel_entity,permanent
CNUR-000341,HIST-HN-LMZ,海南黎族苗族自治州,historical_entity,permanent
CNUR-000342,HIST-CQ-WANXIAN,万县市,historical_entity,permanent
CNUR-000343,HIST-SX-YANBEI,雁北地区,historical_entity,permanent
CNUR-000344,HIST-CQ-FULING,涪陵市,historical_entity,permanent
CNUR-000345,HIST-CQ-QIANJIANG,黔江地区,historical_entity,permanent
CNUR-000346,HIST-GX-NANNING,南宁地区,historical_entity,permanent
CNUR-000347,HIST-GD-HUIYANG,惠阳地区,historical_entity,permanent
