entity_id,name_zh,start_year,end_year,legal_status,verification_status,source_id
CNUR-000132,宜春市,2000,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000133,抚州市,2000,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000134,上饶市,2000,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000135,济南市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000136,青岛市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000137,淄博市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000138,枣庄市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000139,东营市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000140,烟台市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000141,潍坊市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000142,济宁市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000143,泰安市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000144,威海市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000145,日照市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000146,莱芜市,2000,2018,active,wikipedia_verified,SRC-WIKI-2019
CNUR-000146,,2019,2024,abolished,wikipedia_verified,SRC-WIKI-2019
CNUR-000147,临沂市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000148,德州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000149,聊城市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000150,滨州市,2000,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000151,菏泽市,2000,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000152,郑州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000153,开封市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000154,洛阳市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000155,平顶山市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000156,安阳市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000157,鹤壁市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000158,新乡市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000159,焦作市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000160,濮阳市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000161,许昌市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000162,漯河市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000163,三门峡市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000164,南阳市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000165,商丘市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000166,信阳市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000167,周口市,2000,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000168,驻马店市,2000,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000169,武汉市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000170,黄石市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000171,十堰市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000172,宜昌市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000173,襄樊市,2000,2009,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000173,襄阳市,2010,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000174,鄂州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000175,荆门市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000176,孝感市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000177,荆州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000178,黄冈市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000179,咸宁市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000180,随州市,2000,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
CNUR-000181,恩施土家族苗族自治州,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000182,长沙市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000183,株洲市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000184,湘潭市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000185,衡阳市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000186,邵阳市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000187,岳阳市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000188,常德市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000189,张家界市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000190,益阳市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000191,郴州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000192,永州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000193,怀化市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000194,娄底市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000195,湘西土家族苗族自治州,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000196,广州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000197,韶关市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000198,深圳市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000199,珠海市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000200,汕头市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
CNUR-000201,佛山市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
