entity_id,legacy_entity_id,canonical_name_zh,province_name_zh,province_short_zh,entity_level,id_namespace,verification_status
CNUR-000076,E320300,徐州市,江苏省,江苏,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000077,E320400,常州市,江苏省,江苏,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000078,E320500,苏州市,江苏省,江苏,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000079,E320600,南通市,江苏省,江苏,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000080,E320700,连云港市,江苏省,江苏,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000081,E320800,淮安市,江苏省,江苏,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
CNUR-000082,E320900,盐城市,江苏省,江苏,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000083,E321000,扬州市,江苏省,江苏,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000084,E321100,镇江市,江苏省,江苏,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000085,E321200,泰州市,江苏省,江苏,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000086,E321300,宿迁市,江苏省,江苏,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000087,E330100,杭州市,浙江省,浙江,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000088,E330200,宁波市,浙江省,浙江,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000089,E330300,温州市,浙江省,浙江,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000090,E330400,嘉兴市,浙江省,浙江,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000091,E330500,湖州市,浙江省,浙江,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000092,E330600,绍兴市,浙江省,浙江,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000093,E330700,金华市,浙江省,浙江,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000094,E330800,衢州市,浙江省,浙江,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000095,E330900,舟山市,浙江省,浙江,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000096,E331000,台州市,浙江省,浙江,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000097,E331100,丽水市,浙江省,浙江,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
CNUR-000098,E340100,合肥市,安徽省,安徽,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000099,E340200,芜湖市,安徽省,安徽,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000100,E340300,蚌埠市,安徽省,安徽,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000101,E340400,淮南市,安徽省,安徽,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000102,E340500,马鞍山市,安徽省,安徽,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000103,E340600,淮北市,安徽省,安徽,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000104,E340700,铜陵市,安徽省,安徽,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000105,E340800,安庆市,安徽省,安徽,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000106,E341000,黄山市,安徽省,安徽,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000107,E341100,滁州市,安徽省,安徽,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000108,E341200,阜阳市,安徽省,安徽,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000109,E341300,宿州市,安徽省,安徽,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000110,E341400,巢湖市,安徽省,安徽,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_verified
CNUR-000111,E341500,六安市,安徽省,安徽,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000112,E341600,亳州市,安徽省,安徽,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
CNUR-000113,E341700,池州市,安徽省,安徽,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
CNUR-000114,E341800,宣城市,安徽省,安徽,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
CNUR-000115,E350100,福州市,福建省,福建,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000116,E350200,厦门市,福建省,福建,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000117,E350300,莆田市,福建省,福建,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000118,E350400,三明市,福建省,福建,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000119,E350500,泉州市,福建省,福建,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000120,E350600,漳州市,福建省,福建,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000121,E350700,南平市,福建省,福建,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
CNUR-000122,E350800,龙岩市,福建省,福建,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_entity_verified
