event_id,year,province_name,event_type,entity_id,entity_ids,prefecture_names,prefecture_entity_ids,old_prefecture_name,new_prefecture_name,approval_date,document_number,automatic_continuity,confidence,review_status,risk_flags,description,review_note,source_url,source_revision_id,source_locator,source_layer,source_id,source_type,source_confidence
EARLY-PREFECTURE-RMRB-COUNTY-1983-10-28-034,1983,福建省,upgrade,CNUR-000118,CNUR-000118,三明市,CNUR-000118,三明地区,三明市,,,false,medium,early_source_text_parsed,early_year_before_roster|source_text_parsed,撤销三明地区。三明市改由省直接领导，将永安、宁化、清流、明溪、建宁、泰宁、将乐、沙县、尤溪、大田十县划归三明市管辖,早期材料中的市级、地区级或盟级变化；保留原文，实体年度状态仍从1987年开始。,https://cn.govopendata.com/renminribao/1983/10/28/4/,,人民日报 1983-10-28 第4版,early_people_daily_city_extraction,SRC-RMRB-1983-10-28,people_daily_summary,primary_text
EARLY-PREFECTURE-RMRB-COUNTY-1983-10-28-035,1983,福建省,jurisdiction_transfer,CNUR-000115,CNUR-000115、CNUR-000123,宁德地区、福州市,CNUR-000115、CNUR-000123,莆田地区,福州市,,,false,medium,early_source_text_parsed,early_year_before_roster|source_text_parsed,撤销莆田地区。将闽清、永泰、福清、长乐、平潭五县和宁德地区的连江、罗源二县划归福州市管辖,早期材料中的市级、地区级或盟级变化；保留原文，实体年度状态仍从1987年开始。,https://cn.govopendata.com/renminribao/1983/10/28/4/,,人民日报 1983-10-28 第4版,early_people_daily_city_extraction,SRC-RMRB-1983-10-28,people_daily_summary,primary_text
EARLY-PREFECTURE-RMRB-COUNTY-1983-10-28-038,1983,山东省,upgrade,CNUR-000142,CNUR-000142,济宁市,CNUR-000142,济宁地区,济宁市,,,false,medium,early_source_text_parsed,early_year_before_roster|source_text_parsed,撤销济宁地区。济宁市改由省直接领导。将兖州、曲阜、邹县、嘉祥、金乡、鱼台、微山七县划归济宁市管辖。撤销济宁县，将济宁县的行政区域并入济宁市；将汶上、泗水二县划归泰安地区,早期材料中的市级、地区级或盟级变化；保留原文，实体年度状态仍从1987年开始。,https://cn.govopendata.com/renminribao/1983/10/28/4/,,人民日报 1983-10-28 第4版,early_people_daily_city_extraction,SRC-RMRB-1983-10-28,people_daily_summary,primary_text
EARLY-PREFECTURE-RMRB-COUNTY-1983-10-28-039,1983,山东省,upgrade,CNUR-000141,CNUR-000141,潍坊市,CNUR-000141,潍坊地区,潍坊市,,,false,medium,early_source_text_parsed,early_year_before_roster|source_text_parsed,撤销潍坊地区，潍坊市改由省直接领导。将昌邑、昌乐、安丘、高密、诸城、五莲、临朐、益都、寿光九县划归潍坊市管辖。撤销潍县，将潍县的行政区域并入潍坊市,早期材料中的市级、地区级或盟级变化；保留原文，实体年度状态仍从1987年开始。,https://cn.govopendata.com/renminribao/1983/10/28/4/,,人民日报 1983-10-28 第4版,early_people_daily_city_extraction,SRC-RMRB-1983-10-28,people_daily_summary,primary_text
EARLY-PREFECTURE-RMRB-COUNTY-1983-10-28-040,1983,山东省,upgrade,CNUR-000140,CNUR-000140、CNUR-000144,威海市、烟台市,CNUR-000140、CNUR-000144,烟台地区,烟台市、威海市,,,false,medium,early_source_text_parsed,early_year_before_roster|source_text_parsed,撤销烟台地区。烟台市改由省直接领导。将荣成、文登、牟平、乳山、海阳、莱阳、掖县、招远、栖霞、黄县、蓬莱、长岛十二县划归烟台市管辖，威海市仍为省辖（县级）市。撤销福山县，将福山县的行政区域并入烟台市,早期材料中的市级、地区级或盟级变化；保留原文，实体年度状态仍从1987年开始。,https://cn.govopendata.com/renminribao/1983/10/28/4/,,人民日报 1983-10-28 第4版,early_people_daily_city_extraction,SRC-RMRB-1983-10-28,people_daily_summary,primary_text
EARLY-PREFECTURE-RMRB-COUNTY-1983-10-28-050,1983,河南省,jurisdiction_transfer,CNUR-000152,CNUR-000152、CNUR-000153,开封市、郑州市,CNUR-000152、CNUR-000153,开封地区,开封市、郑州市,,,false,medium,early_source_text_parsed,early_year_before_roster|source_text_parsed,撤销开封地区。将巩县、新郑、密县、登封、中牟五县划归郑州市管辖；将兰考、尉氏、通许、杞县、开封五县划归开封市管辖,早期材料中的市级、地区级或盟级变化；保留原文，实体年度状态仍从1987年开始。,https://cn.govopendata.com/renminribao/1983/10/28/4/,,人民日报 1983-10-28 第4版,early_people_daily_city_extraction,SRC-RMRB-1983-10-28,people_daily_summary,primary_text
EARLY-PREFECTURE-RMRB-COUNTY-1983-10-28-051,1983,河南省,upgrade,CNUR-000156,CNUR-000156,安阳市,CNUR-000156,安阳地区,安阳市,,,false,medium,early_source_text_parsed,early_year_before_roster|source_text_parsed,撤销安阳地区，安阳市改由省直接领导。将安阳、浚县、淇县、林县、汤阴五县划归安阳市管辖,早期材料中的市级、地区级或盟级变化；保留原文，实体年度状态仍从1987年开始。,https://cn.govopendata.com/renminribao/1983/10/28/4/,,人民日报 1983-10-28 第4版,early_people_daily_city_extraction,SRC-RMRB-1983-10-28,people_daily_summary,primary_text
EARLY-PREFECTURE-RMRB-COUNTY-1983-10-28-053,1983,河南省,upgrade,CNUR-000158,CNUR-000158,新乡市,CNUR-000158,新乡市,新乡市,,,false,medium,early_source_text_parsed,early_year_before_roster|source_text_parsed,新乡市改由省直接领导，将新乡地区的汲县、新乡两县划归新乡市管辖,早期材料中的市级、地区级或盟级变化；保留原文，实体年度状态仍从1987年开始。,https://cn.govopendata.com/renminribao/1983/10/28/4/,,人民日报 1983-10-28 第4版,early_people_daily_city_extraction,SRC-RMRB-1983-10-28,people_daily_summary,primary_text
EARLY-PREFECTURE-RMRB-COUNTY-1983-10-28-057,1983,湖北省,jurisdiction_transfer,CNUR-000173,CNUR-000173、CNUR-000180,襄樊市、随州市,CNUR-000173、CNUR-000180,襄阳地区,襄樊市、随州市,,,false,medium,early_source_text_parsed,early_year_before_roster|source_text_parsed,撤销襄阳地区。将襄阳、枣阳、宜城、南漳、保康、谷城六县划归襄樊市管辖。随州市、老河口市仍为省辖（县级）市,早期材料中的市级、地区级或盟级变化；保留原文，实体年度状态仍从1987年开始。,https://cn.govopendata.com/renminribao/1983/10/28/4/,,人民日报 1983-10-28 第4版,early_people_daily_city_extraction,SRC-RMRB-1983-10-28,people_daily_summary,primary_text
EARLY-PREFECTURE-RMRB-COUNTY-1983-10-28-058,1983,湖北省,jurisdiction_transfer,CNUR-000181,CNUR-000181,鄂西土家族苗族自治州,CNUR-000181,恩施地区,鄂西土家族苗族自治州,,,false,medium,early_source_text_parsed,early_year_before_roster|source_text_parsed,撤销恩施地区。设立鄂西土家族苗族自治州。撤销鹤峰土家族自治县，恢复鹤峰县。撤销来凤土家族自治县，恢复来凤县。撤销恩施县，将恩施县的行政区域并入恩施市,早期材料中的市级、地区级或盟级变化；保留原文，实体年度状态仍从1987年开始。,https://cn.govopendata.com/renminribao/1983/10/28/4/,,人民日报 1983-10-28 第4版,early_people_daily_city_extraction,SRC-RMRB-1983-10-28,people_daily_summary,primary_text
EARLY-PREFECTURE-RMRB-COUNTY-1983-10-28-059,1983,湖北省,upgrade,CNUR-000175,CNUR-000175,荆门市,CNUR-000175,荆门市,荆门市,,,false,medium,early_source_text_parsed,early_year_before_roster|source_text_parsed,荆门市改由省直接领导。撤销荆门县，将荆门县的行政区域并入荆门市,早期材料中的市级、地区级或盟级变化；保留原文，实体年度状态仍从1987年开始。,https://cn.govopendata.com/renminribao/1983/10/28/4/,,人民日报 1983-10-28 第4版,early_people_daily_city_extraction,SRC-RMRB-1983-10-28,people_daily_summary,primary_text
EARLY-PREFECTURE-RMRB-COUNTY-1983-10-28-068,1983,湖南省,jurisdiction_transfer,CNUR-000182,CNUR-000182、CNUR-000183、CNUR-000184、CNUR-000190,益阳地区、株洲市、湘潭市、长沙市,CNUR-000182、CNUR-000183、CNUR-000184、CNUR-000190,湘潭地区,株洲市、湘潭市、长沙市,,,false,medium,early_source_text_parsed,early_year_before_roster|source_text_parsed,撤销湘潭地区。将攸县、茶陵、酃县、醴陵四县划归株洲市管辖；将湘潭、湘乡两县划归湘潭市管辖；将浏阳县和益阳地区的宁乡县划归长沙市管辖,早期材料中的市级、地区级或盟级变化；保留原文，实体年度状态仍从1987年开始。,https://cn.govopendata.com/renminribao/1983/10/28/4/,,人民日报 1983-10-28 第4版,early_people_daily_city_extraction,SRC-RMRB-1983-10-28,people_daily_summary,primary_text
