event_id,year,province_name,event_type,entity_id,old_prefecture_name,new_prefecture_name,approval_date,document_number,automatic_continuity,confidence,normalization_status,review_note,risk_flags,description,source_section,source_url,revision_id,source_row_number
WIKI-1992-021,1992,湖北省,abolish,CNUR-000172,宜昌地区,,1992-07-06,国函〔1992〕72号,false,medium,accepted_manual_review,宜昌地区 merged into the existing 宜昌市,,"colspan=""2""|宜昌地区||422700||撤销宜昌地区||colspan=""3""| ||rowspan=""10""|国务院7月6日批复同意<br>国函〔1992〕72号",地区和地级市合并,https://zh.wikipedia.org/wiki/1992%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,88403920,26
WIKI-1992-022,1992,吉林省,establish,CNUR-000057,,松原市,1992-06-06,国函〔1992〕60号,false,medium,accepted_manual_review,松原市 was explicitly established as a prefecture-level city,,"rowspan=""5""|白城地区管辖 |rowspan=""2""|扶余市||rowspan=""2""|222303 |rowspan=""2""|撤销扶余市，设立松原市（地级）<br>设立松原市扶余区 |colspan=""2""|松原市||220700 |rowspan=""5""|国务院6月6日批复同意<br>国函〔1992〕60号",新设地级市,https://zh.wikipedia.org/wiki/1992%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,88403920,37
WIKI-1992-023,1992,山东省,rename,CNUR-000150,惠民地区,滨州地区,1992-02-12,国函〔1992〕15号,true,high,accepted_manual_review,惠民地区 renamed 滨州地区 and later became 滨州市,,"colspan=""2""|惠民地区||372300 |惠民地区更名为滨州地区 |colspan=""2""|滨州地区 |国务院批准<br>民政部2月12日批复同意<br>国函〔1992〕15号",地级行政区划更名,https://zh.wikipedia.org/wiki/1992%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,88403920,47
WIKI-1993-024,1993,吉林省,upgrade,CNUR-000058,白城地区,白城市,1993-06-14,国函〔1993〕87号,true,high,accepted_rule_extraction,,,"colspan=""2"" |白城地区 |222300 |rowspan=""2""|撤销白城地区，设立白城市（地级）<br>撤销白城市（县级），设立白城市洮北区（县级） |colspan=""2""|白城市||220800 |rowspan=""6""|国务院6月14日批复同意<br>国函〔1993〕87号",撤销地区，设立地级市（地区）,https://zh.wikipedia.org/wiki/1993%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,91124767,2
WIKI-1993-025,1993,黑龙江省,upgrade,CNUR-000070,黑河地区,黑河市,1993-02-08,国函〔1994〕12号,true,high,accepted_rule_extraction,,document_year_differs_from_page_year,"colspan=""2"" |黑河地区 |232600 |rowspan=""2""|撤销黑河地区，设立黑河市（地级）<br>撤销黑河市（县级），设立黑河市爱辉区（县级） |colspan=""2""|黑河市||231100 |rowspan=""8""|国务院2月8日批复同意<br>国函〔1994〕12号",撤销地区，设立地级市（地区）,https://zh.wikipedia.org/wiki/1993%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,91124767,9
WIKI-1993-026,1993,湖北省,establish,CNUR-000176,,孝感市,1993-02-08,国函〔1993〕46号,false,medium,accepted_manual_review,孝感市 was explicitly established as a prefecture-level city,,"colspan=""2"" |孝感地区 |232600 |rowspan=""3""|孝感地区和县级孝感市，设立孝感市（地级）<br>孝感市设立孝南区和孝昌县 |colspan=""2""|孝感市||231100 |rowspan=""9""|国务院2月8日批复同意<br>国函〔1993〕46号",撤销地区，设立地级市（地区）,https://zh.wikipedia.org/wiki/1993%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,91124767,18
WIKI-1993-027,1993,四川省,upgrade,CNUR-000246,南充地区,南充市,1993-07-02,国函〔1993〕96号,true,high,accepted_rule_extraction,,,"colspan=""2"" |南充地区 |512900 |rowspan=""4""|撤销南充地区、南充市和南充县，设立南充市（地级）<br>南充市设立顺庆区、高坪区和嘉陵区 |colspan=""2""|南充市||231100 |rowspan=""16""|国务院7月2日批复同意<br>国函〔1993〕96号",撤销地区，设立地级市（地区）,https://zh.wikipedia.org/wiki/1993%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,91124767,28
WIKI-1993-028,1993,河北省,merge,CNUR-000003,石家庄地区,,1993-06-19,国函〔1993〕89号,false,medium,accepted_manual_review,石家庄地区 merged into 石家庄市,,"colspan=""2""|石家庄地区||132300||撤销石家庄地区，实行地、市合并||colspan=""3""| ||rowspan=""79""|国务院6月19日批复同意<br>国函〔1993〕89号",地区和地级市合并,https://zh.wikipedia.org/wiki/1993%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,91124767,44
WIKI-1993-029,1993,山西省,abolish,CNUR-000343,雁北地区,,1993-06-14,国函〔1993〕93号,false,medium,accepted_manual_review,Yanbei was abolished and split between Datong and Shuozhou,multi_entity_relation,"colspan=""2""|雁北地区||142100||撤销雁北地区||colspan=""3""| ||rowspan=""11""|国务院6月14日批复同意<br>国函〔1993〕93号",地区和地级市合并,https://zh.wikipedia.org/wiki/1993%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,91124767,124
WIKI-1993-030,1993,广西壮族自治区,establish,CNUR-000222,,防城港市,1993-05-23,国函〔1993〕68号,false,medium,accepted_manual_review,防城港市 was explicitly established as a prefecture-level city,,"rowspan=""4""|钦州地区管辖||rowspan=""3""|防城各族自治县|| rowspan=""3"" |452822 ||rowspan=""4""|撤销防城各族自治县和防城港区，设立防城港市（地级）<br>防城港市辖港口、防城两个区和上思县||colspan=""2""|防城港市||450600 |rowspan=""5""|国务院5月23日批复同意<br>国函〔1993〕68号",新设地级市,https://zh.wikipedia.org/wiki/1993%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,91124767,135
