event_id,year,section,event_type,prefecture_names,prefecture_entity_ids,county_names,old_county_units,new_county_units,change_description,county_unit_types,scope,description,source_title,source_url,source_id,source_type,source_locator,source_confidence,review_status
RMRB-COUNTY-1987-02-10-024,1986,贵州省 / 1986-07—1986-12,split,,,道真县、道真仡佬族苗族自治县、域为道真仡佬族苗族自治县,道真县,道真仡佬族苗族自治县,撤销道真县，设立道真仡佬族苗族自治县，以原道真县的行政区域为道真仡佬族苗族自治县的行政区域,县、自治县,county_level,贵州省：撤销道真县，设立道真仡佬族苗族自治县，以原道真县的行政区域为道真仡佬族苗族自治县的行政区域,1986年下半年全国县级以上行政区划变更情况,https://cn.govopendata.com/renminribao/1987/2/10/4/,SRC-RMRB-1987-02-10,people_daily_summary,人民日报 1987-02-10 第4版,primary_text,source_text_parsed_review_required
RMRB-COUNTY-1987-02-10-025,1986,贵州省 / 1986-07—1986-12,split,,,沿河县、沿河土家族自治县、域为沿河土家族自治县,沿河县,沿河土家族自治县,撤销沿河县，设立沿河土家族自治县，以原沿河县的行政区域为沿河土家族自治县的行政区域,县、自治县,county_level,贵州省：撤销沿河县，设立沿河土家族自治县，以原沿河县的行政区域为沿河土家族自治县的行政区域,1986年下半年全国县级以上行政区划变更情况,https://cn.govopendata.com/renminribao/1987/2/10/4/,SRC-RMRB-1987-02-10,people_daily_summary,人民日报 1987-02-10 第4版,primary_text,source_text_parsed_review_required
RMRB-COUNTY-1987-02-10-026,1986,贵州省 / 1986-07—1986-12,split,,,印江县、印江土家族苗族自治县、域为印江土家族苗族自治县,印江县,印江土家族苗族自治县,撤销印江县，设立印江土家族苗族自治县，以原印江县的行政区域为印江土家族苗族自治县的行政区域,县、自治县,county_level,贵州省：撤销印江县，设立印江土家族苗族自治县，以原印江县的行政区域为印江土家族苗族自治县的行政区域,1986年下半年全国县级以上行政区划变更情况,https://cn.govopendata.com/renminribao/1987/2/10/4/,SRC-RMRB-1987-02-10,people_daily_summary,人民日报 1987-02-10 第4版,primary_text,source_text_parsed_review_required
RMRB-COUNTY-1987-02-10-027,1986,云南省 / 1986-07—1986-12,jurisdiction_transfer,,,碧江县、洛本卓两个区、匹河三个区,碧江县、洛本卓两个区,泸水县,撤销碧江县，将原碧江县的古登、洛本卓两个区划归泸水县，架科底、子里甲、匹河三个区划归福贡县。,区、县,county_level,云南省：撤销碧江县，将原碧江县的古登、洛本卓两个区划归泸水县，架科底、子里甲、匹河三个区划归福贡县。,1986年下半年全国县级以上行政区划变更情况,https://cn.govopendata.com/renminribao/1987/2/10/4/,SRC-RMRB-1987-02-10,people_daily_summary,人民日报 1987-02-10 第4版,primary_text,source_text_parsed_review_required
RMRB-COUNTY-1987-02-10-028,1986,西藏自治区 / 1986-07—1986-12,jurisdiction_transfer,日喀则地区、山南地区,CNUR-000283、CNUR-000286,白朗六县、浪卡子县,白朗六县,白朗六县,撤销江孜地区，将原划归江孜地区所辖的亚东、康马、岗巴、江孜、仁布、白朗六县仍划归日喀则地区；浪卡子县仍划归山南地区,县,county_level,西藏自治区：撤销江孜地区，将原划归江孜地区所辖的亚东、康马、岗巴、江孜、仁布、白朗六县仍划归日喀则地区；浪卡子县仍划归山南地区,1986年下半年全国县级以上行政区划变更情况,https://cn.govopendata.com/renminribao/1987/2/10/4/,SRC-RMRB-1987-02-10,people_daily_summary,人民日报 1987-02-10 第4版,primary_text,source_text_parsed_review_required
RMRB-COUNTY-1987-02-10-029,1986,西藏自治区 / 1986-07—1986-12,split,日喀则市,CNUR-000283,日喀则县、域为日喀则市,日喀则县,日喀则市,撤销日喀则县，设立日喀则市（县级），以原日喀则县的行政区域为日喀则市的行政区域,县、市,county_level,西藏自治区：撤销日喀则县，设立日喀则市（县级），以原日喀则县的行政区域为日喀则市的行政区域,1986年下半年全国县级以上行政区划变更情况,https://cn.govopendata.com/renminribao/1987/2/10/4/,SRC-RMRB-1987-02-10,people_daily_summary,人民日报 1987-02-10 第4版,primary_text,source_text_parsed_review_required
RMRB-COUNTY-1987-02-10-030,1986,陕西省 / 1986-07—1986-12,split,咸阳市,CNUR-000292,渭城区,,,咸阳市设立渭城区。（朱孝庆）,区,county_level,陕西省：咸阳市设立渭城区。（朱孝庆）,1986年下半年全国县级以上行政区划变更情况,https://cn.govopendata.com/renminribao/1987/2/10/4/,SRC-RMRB-1987-02-10,people_daily_summary,人民日报 1987-02-10 第4版,primary_text,source_text_parsed_review_required
XZQH-COUNTY-1983-Q4-001,1983,国务院批复转录 / 1983-10—1983-12,merge,七台河市、佳木斯市,CNUR-000067、CNUR-000068,国务院关于黑龙江省地市、勃利县、宝清县、五大连池市、德都县、焦得布林场等为五大连池市,勃利县,七台河市,10月8日，《国务院关于黑龙江省地市机构改革方案的批复》（(83)国函字213号）同意：一、将合江地区的佳木斯市、七台河市改由省直接领导。二、将合江地区的勃利县划归七台河市管辖；将宝清县的红卫、岚峰两个公社并入七台河市。三、设立五大连池市（县级）。以德都县的五大连池镇及五大连池农场、大庆农场和尾山农场的一个分场以及81112、80301部队农场、焦得布林场等为五大连池市的行政区域。（四、(略)）,县、市,county_level,：10月8日，《国务院关于黑龙江省地市机构改革方案的批复》（(83)国函字213号）同意：一、将合江地区的佳木斯市、七台河市改由省直接领导。二、将合江地区的勃利县划归七台河市管辖；将宝清县的红卫、岚峰两个公社并入七台河市。三、设立五大连池市（县级）。以德都县的五大连池镇及五大连池农场、大庆农场和尾山农场的一个分场以及81112、80301部队农场、焦得布林场等为五大连池市的行政区域。（四、(略)）,1983年行政区划（第7页）,https://www.xzqh.org/html/show/cn/1983_7.html,SRC-XZQH-1983-Q4,secondary_transcription,区划地名网 1983年行政区划 第7页,secondary_transcription,secondary_transcription_review_required
XZQH-COUNTY-1983-Q4-002,1983,国务院批复转录 / 1983-10—1983-12,merge,辽源市,CNUR-000054,国务院关于吉林省恢复东辽县、同意恢复东辽县、合并于辽源市、东辽县、域为东辽县、县人民政府驻辽源市,国务院关于吉林省恢复东辽县,同意恢复东辽县,10月8日，《国务院关于吉林省恢复东辽县的批复》（(83)国函字214号）：同意恢复东辽县，以合并于辽源市的原东辽县的行政区域为东辽县的行政区域，县人民政府驻辽源市。东辽县由辽源市管辖。,县、市,county_level,：10月8日，《国务院关于吉林省恢复东辽县的批复》（(83)国函字214号）：同意恢复东辽县，以合并于辽源市的原东辽县的行政区域为东辽县的行政区域，县人民政府驻辽源市。东辽县由辽源市管辖。,1983年行政区划（第7页）,https://www.xzqh.org/html/show/cn/1983_7.html,SRC-XZQH-1983-Q4,secondary_transcription,区划地名网 1983年行政区划 第7页,secondary_transcription,secondary_transcription_review_required
XZQH-COUNTY-1983-Q4-003,1983,国务院批复转录 / 1983-10—1983-12,jurisdiction_transfer,南宁地区、柳州地区、桂林地区、梧州地区、钦州地区、北海市、南宁市、柳州市、桂林市、梧州市、河池市、玉林市、百色市、钦州市,CNUR-000217、CNUR-000218、CNUR-000219、CNUR-000220、CNUR-000221、CNUR-000223、CNUR-000225、CNUR-000226、CNUR-000228、CNUR-000346、CNUR-000361、CNUR-000362、CNUR-000363,地市、武鸣两县、柳城两县、临桂县、苍梧县、玉林县、域为玉林市、钦州县、域为钦州市、百色县、域为百色市、河池县、域为河池市,玉林县,玉林市,10月8日，《国务院关于广西壮族自治区地市机构改革方案的批复》（(83)国函字215号）同意：一、将南宁地区的邕宁、武鸣两县划归南宁市管辖。二、将柳州地区的柳江、柳城两县划归柳州市管辖。三、将桂林地区的临桂县划归桂林市管辖。四、将梧州地区的苍梧县划归梧州市管辖。五、钦州地区的北海市改由自治区直接领导。六、撤销玉林县，设立玉林市（县级），以玉林县的行政区域为玉林市的行政区域。七、撤销钦州县，设立钦州市（县级），以钦州县的行政区域为钦州市的行政区域。八、撤销百色县，设立百色市（县级），以百色县的行政区域为百色市的行政区域。九、撤销河池县，设立河池市（县级），以河池县的行政区域为河池市的行政区域。,县、市,county_level,：10月8日，《国务院关于广西壮族自治区地市机构改革方案的批复》（(83)国函字215号）同意：一、将南宁地区的邕宁、武鸣两县划归南宁市管辖。二、将柳州地区的柳江、柳城两县划归柳州市管辖。三、将桂林地区的临桂县划归桂林市管辖。四、将梧州地区的苍梧县划归梧州市管辖。五、钦州地区的北海市改由自治区直接领导。六、撤销玉林县，设立玉林市（县级），以玉林县的行政区域为玉林市的行政区域。七、撤销钦州县，设立钦州市（县级），以钦州县的行政区域为钦州市的行政区域。八、撤销百色县，设立百色市（县级），以百色县的行政区域为百色市的行政区域。九、撤销河池县，设立河池市（县级），以河池县的行政区域为河池市的行政区域。,1983年行政区划（第7页）,https://www.xzqh.org/html/show/cn/1983_7.html,SRC-XZQH-1983-Q4,secondary_transcription,区划地名网 1983年行政区划 第7页,secondary_transcription,secondary_transcription_review_required
